"Shopping Flux","Shopping Flux"
"Shoppingflux Configuration","Configuration de Shoppingflux"
"Parameters","Paramètres"
"Manage Orders","Gestion des Commandes"
"Shoppingflux manage orders","Shoppingflux gestion des commandes"
"Enable manage orders","Activer la gestion des commandes"
"Enable get orders from Shopping Flux","Acitve la récupération des commandes depuis Shopping Flux"
"Api key","Clé de l'API"
"API key (Token) not valid","La clé d'API (Jeton) n'est pas valide"
"API Key (Token) is empty","La clé d'API (Jeton) est vide"
"Shopping Flux Purchase Order","Bon de commande Shopping Flux"
"Marketplace","Place de marché"
"Marketplace: %s","Place de marché: %s"
"Shopping Flux Purchase Order","Bon de commande Shopping FLux"
"Shopping Flux shipping","Frais de port Shopping Flux"
"Marketplace shipping","Frais de port de place de marché"
"Shopping flux orders","Commandes Shopping flux"
"Shopping flux import orders","Shopping flux import des commandes"
"Shopping flux import new orders","Shopping flux import des nouvelles commandes"
"Fees","Comission"
"%d orders are imported","%d commandes importées"
"Status of order ids sended: %s","Status des commandes remontées à Shopping Flux: %s"
"Orders can not getted.","Les commandes n'ont pu être récupérées"
"Error","Erreur"
"Shopping flux log","Journal Shopping flux"
"Created at","Créé le"
"OrderID","Id Commande"
"Log is empty.","Le journal d'évènements est vide."
"Delete","Effacer"
"Create invoice","Facturation automatique"
"Invoice is created when order getted from Shopping Flux","La facture est créée quand la commande est enregistrée."
"Apply tax","Appliquer la TVA"
"Calculation of tax when order is created.<b style='color:red'>Do not active if you sell your products Excl. Tax</b>","Application de la TVA lors de la création de la commande. <b style='color:red'>Ne pas activer si vous vendez vos produit Hors Taxe.</b>"
"Import by n orders","Importer par n commandes"
"Limit number of orders imported. 10 by default","Limit le nombre de commandes importées à chaque appel. 10 par défaut."
"Import Customers","Import Clients"
"Default customer group","Groupe client par défaut"
"Amazon customer group","Groupe client Amazon"
"Cdiscount customer group","Groupe client Cdiscount"
"Ebay customer group","Groupe client Ebay"
"Fnac customer group","Groupe client Fnac"
"Pixmania customer group","Groupe client Pixmania"
"Priceminister customer group","Groupe client Priceminister"
"Rueducommerce customer group","Groupe client Rueducommerce"
"Set specific customer group for imported customer from Shopping Flux","Attribuer un groupe client spécifique pour les clients importés depuis shopping flux"
"Set specific customer group for imported customer from Amazon. Leave empty to use default.","Attribuer un groupe client spécifique pour les clients importés depuis Amazon. Laisser vide pour utiliser le groupe par défaut."
"Set specific customer group for imported customer from Cdiscount. Leave empty to use default.","Attribuer un groupe client spécifique pour les clients importés depuis Cdiscount. Laisser vide pour utiliser le groupe par défaut."
"Set specific customer group for imported customer from Ebay. Leave empty to use default.","Attribuer un groupe client spécifique pour les clients importés depuis Ebay. Laisser vide pour utiliser le groupe par défaut."
"Set specific customer group for imported customer from Fnac. Leave empty to use default.","Attribuer un groupe client spécifique pour les clients importés depuis Fnac. Laisser vide pour utiliser le groupe par défaut."
"Set specific customer group for imported customer from Pixmania. Leave empty to use default.","Attribuer un groupe client spécifique pour les clients importés depuis Pixmania. Laisser vide pour utiliser le groupe par défaut."
"Set specific customer group for imported customer from Priceminister. Leave empty to use default.","Attribuer un groupe client spécifique pour les clients importés depuis Priceminister. Laisser vide pour utiliser le groupe par défaut."
"Set specific customer group for imported customer from Rueducommerce. Leave empty to use default.","Attribuer un groupe client spécifique pour les clients importés depuis Rueducommerce. Laisser vide pour utiliser le groupe par défaut."
"Default Shoppingflux Category","Catégorie Shoppingflux"
"Shoppingflux Category Products","Produits de la catégorie (Shoppingflux)"
"Current default category","Catégorie actuelle"
"Import Store","Vue magasin où importer les commandes"
"Orders will be imported in selected store","Les commandes shoppingflux seront importés dans la vue séléctionnée"
"Yes","Oui"
"No","Non"
"In category ?","Présent ?"